,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
305,395215,305,"Wausau, WI",Msa,WI,174130.0,174744.0,175499.0,176315.0,176787.0,177322.0,177933.0,179384.0,181205.0,183393.0,185289.0,186848.0,187951.0,189073.0,190250.0,191440.0,192747.0,194471.0,196961.0,199776.0,202345.0,204567.0,207052.0,209496.0,212201.0,214149.0,216836.0,219602
306,394756,306,"La Crosse, WI",Msa,WI,204640.0,205090.0,204397.0,204495.0,205056.0,206779.0,208031.0,209550.0,211167.0,212783.0,214494.0,216046.0,218205.0,220584.0,223379.0,226393.0,229542.0,233239.0,236007.0,238621.0,240629.0,242678.0,244440.0,247688.0,251551.0,255059.0,257297.0,259224
307,394783,307,"Lebanon, PA",Msa,PA,191575.0,192227.0,193176.0,194574.0,195375.0,196292.0,197219.0,198872.0,200735.0,202949.0,205293.0,207626.0,209432.0,211797.0,214948.0,219220.0,222444.0,225399.0,228300.0,232287.0,235761.0,237994.0,240104.0,241980.0,244277.0,246494.0,249191.0,252206
308,394703,308,"Idaho Falls, ID",Msa,ID,257499.0,260116.0,263025.0,265107.0,267577.0,270109.0,272809.0,275210.0,277691.0,280791.0,285849.0,291196.0,298793.0,307053.0,316617.0,325154.0,333331.0,340631.0,348203.0,356832.0,363101.0,369050.0,373019.0,382263.0,390124.0,398386.0,402527.0,406844
309,395098,309,"Sierra Vista, AZ",Msa,AZ,164914.0,165871.0,166580.0,167331.0,167672.0,168522.0,169821.0,171297.0,172698.0,174572.0,177034.0,179704.0,181823.0,184209.0,186215.0,188330.0,189419.0,192308.0,195571.0,199639.0,203145.0,205625.0,209093.0,213011.0,218584.0,223484.0,227578.0,231640
310,394983,310,"Pittsfield, MA",Msa,MA,240679.0,241509.0,241257.0,241330.0,240815.0,240638.0,241788.0,244421.0,248159.0,251412.0,255483.0,259675.0,263708.0,266993.0,270330.0,274089.0,278473.0,284836.0,291422.0,297791.0,302637.0,308009.0,313730.0,319704.0,323639.0,327878.0,331525.0,339368
311,394780,311,"Lawton, OK",Msa,OK,97020.0,97244.0,97497.0,97580.0,,,99827.0,,97756.0,99602.0,101680.0,103592.0,104903.0,106047.0,107165.0,108138.0,109091.0,108781.0,108457.0,108353.0,110031.0,111535.0,112814.0,113997.0,115386.0,116928.0,118589.0,120237
312,394588,312,"Farmington, NM",Msa,NM,143080.0,143640.0,144033.0,143825.0,143822.0,143920.0,143898.0,144773.0,146475.0,148327.0,150567.0,151939.0,153771.0,156838.0,159870.0,163300.0,164256.0,167940.0,171699.0,175473.0,178638.0,182130.0,185254.0,187395.0,189562.0,192833.0,195895.0,198379
313,394712,313,"Jackson, TN",Msa,TN,122139.0,123315.0,124239.0,124921.0,125426.0,126064.0,126834.0,127802.0,128995.0,130756.0,132072.0,133430.0,135208.0,138042.0,141217.0,143594.0,146047.0,148576.0,151662.0,154658.0,157699.0,160619.0,162074.0,164017.0,165830.0,169662.0,171802.0,174623
314,394879,314,"Morgantown, WV",Msa,WV,167206.0,167257.0,167159.0,167120.0,167296.0,167669.0,168116.0,168279.0,,171461.0,,,182387.0,183812.0,186094.0,187985.0,189380.0,189795.0,189818.0,190144.0,190766.0,192819.0,195118.0,197956.0,199103.0,200352.0,200979.0,202489
